Year,Week,Game.Date,Team,Actual_Team_Points,Predicted_Team_Points,Opponent,Actual_Opponent_Points,Predicted_Opponent_Points,Predicted_Total_Points,Actual_Total_Points
2013,Wild Card,2014-01-05,San Francisco 49ers,23,21.1649928187478,Green Bay Packers,20,21.4810801526973,42.6460729714451,43
2013,Wild Card,2014-01-05,Chargers,27,24.4253542003545,Cincinnati Bengals,10,22.8272326012667,47.2525868016212,37
2013,Division,2014-01-11,New England Patriot,43,24.0231216094663,Indianapolis Colts,22,21.1175918776086,45.1407134870749,65
2013,Division,2014-01-11,Seattle Seahawks,23,21.8553538282659,New Orleans Saints,15,25.8521367142953,47.7074905425612,38
2013,Division,2014-01-12,San Francisco 49ers,23,22.0379649812765,Carolina Panthers,10,21.9899236745667,44.0278886558432,33
2013,Division,2014-01-12,Chargers,17,24.6186698502828,Denver Broncos,24,27.114439815451,51.7331096657339,41
2013,Conf. Champ.,2014-01-19,San Francisco 49ers,17,20.3797505205655,Seattle Seahawks,23,20.9831745425128,41.3629250630782,40
2013,Conf. Champ.,2014-01-19,New England Patriot,16,24.1014389770731,Denver Broncos,26,22.9016041298768,47.0030431069499,42
2013,SuperBowl,2014-02-02,Seattle Seahawks,43,20.8565109287689,Denver Broncos,8,26.9654855820403,47.8219965108092,51
2014,Wild Card,2015-01-03,Arizona Cardinals,16,22.6927497458198,Carolina Panthers,27,22.944064463673,45.6368142094928,43
2014,Wild Card,2015-01-03,Baltimore Ravens,30,23.1895832438977,Pittsburgh Steelers,17,23.5323113044208,46.7218945483185,47
2014,Wild Card,2015-01-04,Indianapolis Colts,26,25.6305868556819,Cincinnati Bengals,10,19.5083307950168,45.1389176506986,36
2014,Wild Card,2015-01-04,Detroit Lions,20,24.9659297910948,Dallas Cowboys,24,23.9966687294043,48.9625985204991,44
2014,Division,2015-01-10,Baltimore Ravens,31,23.1205977532778,New England Patriot,35,23.6118363845145,46.7324341377923,66
2014,Division,2015-01-10,Seattle Seahawks,31,23.1653845339777,Carolina Panthers,17,24.130475002729,47.2958595367067,48
2014,Division,2015-01-11,Green Bay Packers,26,26.2722715903631,Dallas Cowboys,21,21.2556050646259,47.5278766549891,47
2014,Division,2015-01-11,Denver Broncos,13,23.3113598290934,Indianapolis Colts,24,24.2756527608589,47.5870125899523,37
2014,Conf. Champ.,2015-01-18,Seattle Seahawks,28,21.1286717327824,Green Bay Packers,22,26.6110328948714,47.7397046276538,50
2014,Conf. Champ.,2015-01-18,New England Patriot,45,24.6916405999413,Indianapolis Colts,7,23.918787849416,48.6104284493573,52
2014,SuperBowl,2015-02-01,Seattle Seahawks,24,22.0231367345754,New England Patriot,28,27.8411689812804,49.8643057158558,52
2015,Wild Card,2016-01-09,Kansas City Chiefs,30,20.733200518564,Houston Texans,0,18.9412592218016,39.6744597403656,30
2015,Wild Card,2016-01-09,Pittsburgh Steelers,18,23.1381665837469,Cincinnati Bengals,16,22.1736645721706,45.3118311559175,34
2015,Wild Card,2016-01-10,Washington Redskins,18,22.9442536886757,Green Bay Packers,35,22.9544857462676,45.8987394349432,53
2015,Wild Card,2016-01-10,Seattle Seahawks,10,24.5081090920032,Minnesota Vikings,9,22.4968640618502,47.0049731538534,19
2015,Division,2016-01-16,Green Bay Packers,20,23.2937211738281,Arizona Cardinals,26,22.4113423071344,45.7050634809625,46
2015,Division,2016-01-16,New England Patriot,27,24.3793015857423,Kansas City Chiefs,20,22.5848287746692,46.9641303604115,47
2015,Division,2016-01-17,Pittsburgh Steelers,16,21.9622133135178,Denver Broncos,23,19.8493272639008,41.8115405774186,39
2015,Division,2016-01-17,Seattle Seahawks,24,23.6026865515835,Carolina Panthers,31,23.9984625438899,47.6011490954734,55
2015,Conf. Champ.,2016-01-24,Arizona Cardinals,15,23.1023514483986,Carolina Panthers,49,22.8944730649252,45.9968245133238,64
2015,Conf. Champ.,2016-01-24,New England Patriot,18,25.9355411642757,Denver Broncos,20,21.538852243511,47.4743934077868,38
2015,SuperBowl,2016-02-07,Denver Broncos,24,20.6762557023384,Carolina Panthers,10,22.8289488467764,43.5052045491148,34
2016,Wild Card,2017-01-07,Oakland Raiders,14,24.1140483960983,Houston Texans,27,21.6074242931431,45.7214726892414,41
2016,Wild Card,2017-01-07,Seattle Seahawks,26,25.4933253025922,Detroit Lions,6,24.6476143096853,50.1409396122775,32
2016,Wild Card,2017-01-08,Pittsburgh Steelers,30,24.1579157237181,Miami Dolphins,12,19.1858888536524,43.3438045773705,42
2016,Wild Card,2017-01-08,New York Giants,13,20.0155102089854,Green Bay Packers,38,26.0928830657711,46.1083932747565,51
2016,Division,2017-01-14,New England Patriot,34,24.6303984446872,Houston Texans,16,20.0760357372212,44.7064341819084,50
2016,Division,2017-01-14,Seattle Seahawks,20,24.2790899351179,Atlanta Falcons,36,26.2111698716711,50.490259806789,56
2016,Division,2017-01-15,Pittsburgh Steelers,18,23.8538288868508,Kansas City Chiefs,16,20.3461584512958,44.1999873381466,34
2016,Division,2017-01-15,Green Bay Packers,34,27.8903038796806,Dallas Cowboys,31,21.3762954313405,49.2665993110211,65
2016,Conf. Champ.,2017-01-22,Pittsburgh Steelers,17,22.7213190286774,New England Patriot,36,21.8027498776358,44.5240689063132,53
2016,Conf. Champ.,2017-01-22,Green Bay Packers,21,26.1669098787707,Atlanta Falcons,44,25.1640948854493,51.33100476422,65
2016,SuperBowl,2017-02-05,New England Patriot,34,25.1297861201913,Atlanta Falcons,28,26.467769836937,51.5975559571283,62
2017,Wild Card,2018-01-06,Tennessee Titans,22,18.6368354397578,Kansas City Chiefs,21,25.6927004977288,44.3295359374866,43
2017,Wild Card,2018-01-06,Rams,13,26.3395645915866,Atlanta Falcons,26,20.2940553093347,46.6336199009213,39
2017,Wild Card,2018-01-07,Jacksonville Jaguar,10,21.7867086542838,Buffalo Bills,3,22.9773625477507,44.7640712020345,13
2017,Wild Card,2018-01-07,New Orleans Saints,31,25.8708097470443,Carolina Panthers,26,23.2844455521113,49.1552552991556,57
2017,Division,2018-01-13,Tennessee Titans,14,19.9972216458695,New England Patriot,35,26.4373373012245,46.434558947094,49
2017,Division,2018-01-13,Philadelphia Eagles,15,24.6571047457289,Atlanta Falcons,10,24.9279558409247,49.5850605866537,25
2017,Division,2018-01-14,Pittsburgh Steelers,42,23.9764080356782,Jacksonville Jaguar,45,21.1272570176411,45.1036650533193,87
2017,Division,2018-01-14,New Orleans Saints,24,27.0476602843274,Minnesota Vikings,29,24.5796033902246,51.6272636745519,53
2017,Conf. Champ.,2018-01-21,New England Patriot,24,26.6878124089545,Jacksonville Jaguar,20,21.7964749815505,48.484287390505,44
